Starting to parse extensions...
  [SUCCESS] Found 'device' extension 'VK_KHR_image_format_list'!
  [SUCCESS] Found 'device' extension 'VK_EXT_blend_operation_advanced'!
  [SUCCESS] Found 'device' extension 'VK_KHR_acceleration_structure'!
  [SUCCESS] Found 'device' extension 'VK_KHR_ray_tracing_pipeline'!
  [SUCCESS] Found 'device' extension 'VK_KHR_ray_query'!
  [SUCCESS] Found 'device' extension 'VK_EXT_post_depth_coverage'!
  [SUCCESS] Found 'device' extension 'VK_EXT_pageable_device_local_memory'!
  [SUCCESS] Found 'device' extension 'VK_KHR_sampler_ycbcr_conversion'!
  [SUCCESS] Found 'device' extension 'VK_EXT_filter_cubic'!
  [SUCCESS] Found 'device' extension 'VK_EXT_validation_cache'!
  [SUCCESS] Found 'device' extension 'VK_EXT_descriptor_indexing'!
  [SUCCESS] Found 'device' extension 'VK_KHR_compute_shader_derivatives'!
  [SUCCESS] Found 'device' extension 'VK_EXT_shader_viewport_index_layer'!
  [SUCCESS] Found 'device' extension 'VK_KHR_maintenance3'!
  [SUCCESS] Found 'device' extension 'VK_KHR_draw_indirect_count'!
  [SUCCESS] Found 'device' extension 'VK_KHR_shader_subgroup_extended_types'!
  [SUCCESS] Found 'device' extension 'VK_KHR_8bit_storage'!
  [SUCCESS] Found 'device' extension 'VK_EXT_external_memory_host'!
  [SUCCESS] Found 'device' extension 'VK_KHR_shader_atomic_int64'!
  [SUCCESS] Found 'device' extension 'VK_KHR_shader_clock'!
    Skipped extension 'VK_KHR_video_decode_h265' because Vulkan 1.2 does not have extension 'VK_KHR_video_decode_queue'!
  [SUCCESS] Found 'device' extension 'VK_KHR_robustness2'!
  [SUCCESS] Found 'device' extension 'VK_KHR_driver_properties'!
  [SUCCESS] Found 'device' extension 'VK_KHR_shader_float_controls'!
  [SUCCESS] Found 'device' extension 'VK_KHR_depth_stencil_resolve'!
  [SUCCESS] Found 'device' extension 'VK_KHR_swapchain_mutable_format'!
    Skipped extension 'VK_KHR_video_maintenance2' because Vulkan 1.2 does not have extension 'VK_KHR_video_queue'!
  [SUCCESS] Found 'device' extension 'VK_KHR_timeline_semaphore'!
  [SUCCESS] Found 'device' extension 'VK_KHR_vulkan_memory_model'!
  [SUCCESS] Found 'device' extension 'VK_EXT_pci_bus_info'!
  [SUCCESS] Found 'device' extension 'VK_EXT_fragment_density_map'!
  [SUCCESS] Found 'device' extension 'VK_EXT_scalar_block_layout'!
  [SUCCESS] Found 'device' extension 'VK_KHR_fragment_shading_rate'!
  [SUCCESS] Found 'device' extension 'VK_KHR_present_id2'!
  [SUCCESS] Found 'device' extension 'VK_KHR_shader_quad_control'!
  [SUCCESS] Found 'device' extension 'VK_KHR_deferred_host_operations'!
  [SUCCESS] Found 'device' extension 'VK_EXT_memory_budget'!
  [SUCCESS] Found 'device' extension 'VK_EXT_non_seamless_cube_map'!
  [SUCCESS] Found 'device' extension 'VK_EXT_memory_priority'!
  [SUCCESS] Found 'instance' extension 'VK_KHR_surface_protected_capabilities'!
  [SUCCESS] Found 'device' extension 'VK_KHR_separate_depth_stencil_layouts'!
  [SUCCESS] Found 'device' extension 'VK_EXT_buffer_device_address'!
  [SUCCESS] Found 'device' extension 'VK_KHR_pipeline_executable_properties'!
  [SUCCESS] Found 'instance' extension 'VK_EXT_validation_features'!
  [SUCCESS] Found 'device' extension 'VK_EXT_fragment_shader_interlock'!
  [SUCCESS] Found 'device' extension 'VK_EXT_ycbcr_image_arrays'!
  [SUCCESS] Found 'device' extension 'VK_KHR_uniform_buffer_standard_layout'!
  [SUCCESS] Found 'device' extension 'VK_EXT_provoking_vertex'!
  [SUCCESS] Found 'instance' extension 'VK_EXT_headless_surface'!
  [SUCCESS] Found 'device' extension 'VK_KHR_buffer_device_address'!
  [SUCCESS] Found 'device' extension 'VK_EXT_multisampled_render_to_single_sampled'!
  [SUCCESS] Found 'device' extension 'VK_EXT_shader_atomic_float'!
  [SUCCESS] Found 'device' extension 'VK_EXT_host_query_reset'!
  [SUCCESS] Found 'device' extension 'VK_EXT_shader_atomic_float2'!
